Nazwisko aktualne,Liczba
NOWAK,140251
KOWALSKA,90460
WIŚNIEWSKA,71262
WÓJCIK,64388
KOWALCZYK,62851
KAMIŃSKA,61427
LEWANDOWSKA,60988
DĄBROWSKA,59959
ZIELIŃSKA,59374
SZYMAŃSKA,58109
WOŹNIAK,57233
KOZŁOWSKA,49371
JANKOWSKA,44566
KWIATKOWSKA,43434
WOJCIECHOWSKA,43395
MAZUR,43350
KRAWCZYK,41501
KACZMAREK,40291
PIOTROWSKA,40259
GRABOWSKA,37810
PAWŁOWSKA,36217
MICHALSKA,35790
ZAJĄC,35320
KRÓL,34804
NOWAKOWSKA,34343
WIECZOREK,33314
JABŁOŃSKA,32715
WRÓBEL,32324
ADAMCZYK,32293
MAJEWSKA,32220
DUDEK,31618
NOWICKA,31486
OLSZEWSKA,31068
JAWORSKA,30708
MALINOWSKA,30602
STĘPIEŃ,30321
GÓRSKA,29459
PAWLAK,29309
WITKOWSKA,29174
WALCZAK,28682
SIKORA,28451
RUTKOWSKA,28427
MICHALAK,27743
SZEWCZYK,27488
OSTROWSKA,27279
BARAN,27097
TOMASZEWSKA,26289
PIETRZAK,25631
WRÓBLEWSKA,25175
ZALEWSKA,25163
MARCINIAK,25118
JASIŃSKA,24992
DUDA,24713
JAKUBOWSKA,24647
ZAWADZKA,24568
SADOWSKA,24450
WŁODARCZYK,23338
BĄK,23334
CHMIELEWSKA,23117
BORKOWSKA,22996
WILK,22612
SOKOŁOWSKA,22552
SZCZEPAŃSKA,22132
SAWICKA,22092
KUCHARSKA,21565
LIS,21322
MACIEJEWSKA,21174
KUBIAK,20941
CZARNECKA,20890
KALINOWSKA,20852
MAZUREK,20815
WYSOCKA,20751
URBAŃSKA,19977
KOŁODZIEJ,19920
KAŹMIERCZAK,19591
SOBCZAK,18451
GŁOWACKA,18413
ZAKRZEWSKA,18258
KRAJEWSKA,18251
SIKORSKA,18245
ADAMSKA,18099
WASILEWSKA,18000
KRUPA,17976
GAJEWSKA,17767
ZIÓŁKOWSKA,17742
LASKOWSKA,17688
MAKOWSKA,17538
SZULC,17429
CZERWIŃSKA,17380
SZYMCZAK,17283
BRZEZIŃSKA,17247
PRZYBYLSKA,17212
MRÓZ,17210
BARANOWSKA,17189
BŁASZCZYK,17090
ANDRZEJEWSKA,17016
KACZMARCZYK,16926
BOROWSKA,16824
CIEŚLAK,16789
GÓRECKA,16682
CHOJNACKA,16559
KANIA,16389
LESZCZYŃSKA,16353
SZCZEPANIAK,16309
LIPIŃSKA,16288
WESOŁOWSKA,16266
JANIK,16240
KOWALEWSKA,16020
KOZAK,15978
MIKOŁAJCZYK,15936
KONIECZNA,15861
MUCHA,15826
DOMAŃSKA,15823
KOZIOŁ,15615
NOWACKA,15594
JAROSZ,15510
KOWALIK,15333
CIESIELSKA,15296
KOŁODZIEJCZYK,15240
MARKOWSKA,15236
MUSIAŁ,15173
ZIĘBA,15118
BRZOZOWSKA,15005
ORŁOWSKA,14666
TOMCZYK,14601
TOMCZAK,14526
PAWLIK,14497
PIĄTEK,14494
MARKIEWICZ,14483
KUREK,14473
KOPEĆ,14425
ŻAK,14366
WAWRZYNIAK,14273
URBANIAK,14176
WOLSKA,14151
CZAJKOWSKA,14148
KOT,13995
POLAK,13925
STANKIEWICZ,13924
WÓJTOWICZ,13913
NAWROCKA,13905
KRUK,13729
JASTRZĘBSKA,13605
ŁUCZAK,13576
STASIAK,13489
WIERZBICKA,13466
DZIEDZIC,13409
KARPIŃSKA,13325
SOWA,13325
PIASECKA,13234
BEDNAREK,13077
JANICKA,12905
STEFAŃSKA,12893
GAJDA,12877
KLIMEK,12864
SOSNOWSKA,12790
BIELECKA,12777
DOBROWOLSKA,12661
URBAN,12631
JÓŹWIAK,12527
MILEWSKA,12495
MAJCHRZAK,12428
MADEJ,12347
MAJ,12225
MAŁECKA,12156
ŚLIWIŃSKA,12149
DOMAGAŁA,12129
LEŚNIAK,12125
KOWAL,12008
SOCHA,11848
MAREK,11812
SKIBA,11797
BEDNARCZYK,11695
WRONA,11616
ROMANOWSKA,11600
MATUSZEWSKA,11537
WILCZYŃSKA,11467
KASPRZAK,11421
RATAJCZAK,11419
OLEJNICZAK,11413
MICHALIK,11410
PAJĄK,11279
ŚWIĄTEK,11171
OWCZAREK,11135
ORZECHOWSKA,11118
KUROWSKA,11083
SOBOLEWSKA,11067
GRZELAK,10981
MAZURKIEWICZ,10923
BUKOWSKA,10895
OLEJNIK,10891
BARAŃSKA,10835
ROGOWSKA,10821
KĘDZIERSKA,10820
ŁUKASIK,10790
MATUSIAK,10771
KOSIŃSKA,10670
SKOWROŃSKA,10583
MARCINKOWSKA,10489
RYBAK,10435
BEDNARSKA,10429
JANISZEWSKA,10402
SOBCZYK,10390
CHRZANOWSKA,10332
SROKA,10287
MARSZAŁEK,10266
LISOWSKA,10251
KOZIEŁ,10207
ŚWIDERSKA,10206
CZAJKA,10187
MORAWSKA,10187
ZYCH,10183
MUSZYŃSKA,10073
CZECH,10068
KASPRZYK,10050
KUCZYŃSKA,10039
GRZYBOWSKA,9994
BEDNARZ,9985
OSIŃSKA,9884
MARCZAK,9843
PLUTA,9831
KWIECIEŃ,9826
MAŁEK,9826
JĘDRZEJEWSKA,9825
BIAŁEK,9812
CHMIEL,9786
CZAJA,9779
MICHAŁOWSKA,9700
KRZEMIŃSKA,9697
PALUCH,9694
WITEK,9694
TUREK,9667
DĘBSKA,9666
KUBICKA,9650
CIEŚLIK,9645
ŻUKOWSKA,9643
MARZEC,9599
PIEKARSKA,9588
JANOWSKA,9548
BIERNACKA,9434
KACZOR,9408
STEFANIAK,9352
SZYDŁOWSKA,9342
STANISZEWSKA,9322
LEWICKA,9306
PRZYBYSZ,9274
RUDNICKA,9253
GOŁĘBIEWSKA,9232
LECH,9225
POPŁAWSKA,9201
ŚLIWA,9184
NIEMIEC,9167
AUGUSTYNIAK,9163
SMOLIŃSKA,9140
MURAWSKA,9137
PODGÓRSKA,9134
KACPRZAK,9120
CZYŻ,9099
KUJAWA,9085
KULESZA,9077
PIĄTKOWSKA,9063
PIETRZYK,9011
STACHOWIAK,8985
GOŁĘBIOWSKA,8963
ŻUREK,8962
SERAFIN,8953
SOWIŃSKA,8951
GÓRA,8934
MATYSIAK,8806
KARCZEWSKA,8772
BANACH,8738
ROSIŃSKA,8727
KLIMCZAK,8709
BANAŚ,8657
CYBULSKA,8643
RAK,8638
KOMOROWSKA,8632
GODLEWSKA,8602
ŻURAWSKA,8583
BIENIEK,8578
ZAWADA,8479
SKRZYPCZAK,8458
GRUSZKA,8455
DROZD,8446
GROCHOWSKA,8446
CICHOCKA,8439
SZCZĘSNA,8432
PRZYBYŁA,8425
RÓŻAŃSKA,8310
CICHOŃ,8308
KUŚ,8287
GÓRKA,8251
NIEWIADOMSKA,8240
KULIK,8176
PANEK,8173
WINIARSKA,8171
KRZYŻANOWSKA,8142
KRAWIEC,8126
MIELCZAREK,8106
SIWEK,8063
PTAK,8057
KONOPKA,8020
LEŚNIEWSKA,8019
FILIPIAK,8011
STRZELECKA,7980
MIKOŁAJCZAK,7955
ZARZYCKA,7949
GRACZYK,7946
GIL,7929
ZAREMBA,7926
SŁOWIK,7889
SZCZEPANIK,7864
TOKARSKA,7860
ANTCZAK,7858
MAĆKOWIAK,7830
SZYMCZYK,7773
STAŃCZYK,7750
BARTKOWIAK,7745
KŁOS,7744
KACZYŃSKA,7717
BUCZEK,7699
GÓRNA,7671
CIEŚLA,7660
MŁYNARCZYK,7651
GRZYB,7632
JANIAK,7597
SKOWRON,7594
BIERNAT,7588
JANUS,7550
BANASIAK,7515
SZCZYGIEŁ,7513
KOSTRZEWA,7511
RAKOWSKA,7500
SZOSTAK,7497
JUREK,7475
BOGUSZ,7469
GĄSIOR,7465
BARTCZAK,7453
KRÓLIKOWSKA,7432
KALETA,7430
DŁUGOSZ,7416
WĘGRZYN,7412
SIENKIEWICZ,7393
KUCHARCZYK,7390
KSIĄŻEK,7365
KUBIK,7361
RÓŻYCKA,7361
GAWRON,7353
FRĄCZEK,7295
GAWLIK,7270
DOBOSZ,7225
BAGIŃSKA,7221
KULA,7220
PAŁKA,7201
ŻEBROWSKA,7189
ROGALSKA,7167
WITCZAK,7149
HAJDUK,7117
TRZCIŃSKA,7106
FRANKOWSKA,7078
ZARĘBA,7077
TROJANOWSKA,7072
GAWROŃSKA,7061
MALISZEWSKA,7039
MALEC,7014
GRZEGORCZYK,7009
RZEPKA,7005
ROGALA,6999
RYBICKA,6996
ROJEK,6984
MIKULSKA,6975
TKACZYK,6972
DUDZIŃSKA,6948
RADOMSKA,6938
KACZOROWSKA,6902
FRĄCKOWIAK,6800
KISIEL,6800
FIJAŁKOWSKA,6794
NAWROT,6741
BOGUCKA,6740
WIĘCKOWSKA,6724
MIKA,6709
GRZESIAK,6689
LACH,6675
CZYŻEWSKA,6660
BOREK,6650
GAŁĄZKA,6632
WĄSIK,6622
KWAŚNIEWSKA,6617
WOJTCZAK,6608
